law,id_palette,cr1,cg1,cb1,cr2,cg2,cb2,cr3,cg3,cb3,cr4,cg4,cb4,cr5,cg5,cb5
0,0,0.010355,0.354606,0.157497,0.022346,0.765203,0.339863,0.020280,0.694474,0.308449,0.025164,0.861710,0.382726,0.015705,0.537797,0.238861
0,1,0.212080,0.000022,0.765203,0.149053,0.000015,0.537797,0.192477,0.000020,0.694474,0.179901,0.000018,0.649097,0.098281,0.000010,0.354606
0,2,0.112341,0.287500,0.103383,0.297948,0.762500,0.274189,0.390752,1.000000,0.359592,0.019538,0.050000,0.017980,0.205145,0.525000,0.188786
0,3,0.498462,0.111581,0.537797,0.553061,0.123803,0.596704,0.601622,0.134674,0.649097,0.047221,0.010570,0.050947,0.328670,0.073573,0.354606
0,4,0.280349,0.596704,0.551145,0.023936,0.050947,0.047057,0.058176,0.123823,0.114369,0.166604,0.354606,0.327531,0.304965,0.649097,0.599538
0,5,0.050947,0.015175,0.009785,0.596704,0.177729,0.114603,0.435374,0.129677,0.083618,0.123823,0.036881,0.023782,0.649097,0.193334,0.124666
0,6,0.279907,0.100706,0.287500,0.973589,0.350281,1.000000,0.511134,0.183898,0.525000,0.742361,0.267089,0.762500,0.048679,0.017514,0.050000
0,7,0.284110,0.191329,0.425136,0.082749,0.055726,0.123823,0.290953,0.195937,0.435374,0.034047,0.022928,0.050947,0.203706,0.137182,0.304820
0,8,0.399520,0.015185,0.425136,0.116362,0.004423,0.123823,0.409141,0.015550,0.435374,0.631101,0.023986,0.671566,0.286454,0.010887,0.304820
0,9,0.530483,0.671566,0.208806,0.335823,0.425136,0.132185,0.343910,0.435374,0.135368,0.537684,0.680682,0.211640,0.240783,0.304820,0.094776
0,10,0.287500,0.152331,0.098964,1.000000,0.529848,0.344223,0.050000,0.026492,0.017211,0.762500,0.404009,0.262470,0.525000,0.278170,0.180717
0,11,0.617906,0.436513,1.000000,0.324401,0.229170,0.525000,0.030895,0.021826,0.050000,0.177648,0.125498,0.287500,0.471154,0.332841,0.762500
0,12,0.499256,0.024809,0.294678,0.761257,0.037828,0.449320,0.680682,0.033824,0.401762,0.061540,0.003058,0.036323,0.671566,0.033371,0.396381
0,13,0.182192,0.525000,0.245515,0.099772,0.287500,0.134449,0.017352,0.050000,0.023382,0.264613,0.762500,0.356581,0.347033,1.000000,0.467647
0,14,0.238967,0.380353,0.499256,0.392275,0.624367,0.819552,0.364373,0.579956,0.761257,0.029456,0.046884,0.061540,0.253907,0.404132,0.530469
0,15,0.122327,1.000000,0.248708,0.064222,0.525000,0.130572,0.093274,0.762500,0.189640,0.035169,0.287500,0.071504,0.006116,0.050000,0.012435
0,16,0.005730,0.050000,0.011951,0.114604,1.000000,0.239017,0.087386,0.762500,0.182250,0.060167,0.525000,0.125484,0.032949,0.287500,0.068717
